current_time, current_time_step, current_sub-iteration, fetchTime, forceVecProjTime, linearAssembleTime, bcApplyTime, solverSolveTime, totalForceCalTime, printDispTime, pushTime, moveMeshTime, dispVTKExpTime, dispTxtExpTime, checkpointExpTime, assignOldFuncSpaceTime, simtimePerIter, simtimePerStep
0.12,4,3,7.807540655136108,0.0012233257293701172,0.022682666778564453,0.0002448558807373047,1.0735797882080078,0.01595449447631836,0.00045800209045410156,0.028343677520751953,0.004278421401977539,13.876237869262695,0.0015070438385009766,0.035474300384521484,0.002193450927734375,8.950072765350342,61.72190546989441
0.12,4,4,7.260417461395264,0.0005137920379638672,0.01550912857055664,0.00017833709716796875,1.3661375045776367,0.01242518424987793,0.000881195068359375,0.0328061580657959,0.004278421401977539,13.876237869262695,0.0015070438385009766,0.035474300384521484,0.002193450927734375,8.688904523849487,61.72190546989441
0.12,4,5,7.4684576988220215,0.0014166831970214844,0.024770498275756836,0.00025200843811035156,1.8857433795928955,0.005599260330200195,0.0003955364227294922,0.03732013702392578,0.004278421401977539,13.876237869262695,0.0015070438385009766,0.035474300384521484,0.002193450927734375,9.423993349075317,61.72190546989441
0.15,5,1,3.6611740589141846,0.0014684200286865234,0.024195194244384766,0.0002982616424560547,2.043991804122925,0.0060122013092041016,0.0004019737243652344,0.016067981719970703,0.004171609878540039,12.557685852050781,0.005223751068115234,0.05504250526428223,0.0027892589569091797,5.75365424156189,53.478795289993286
0.15,5,2,10.395937204360962,0.0014252662658691406,0.02387261390686035,0.0002474784851074219,1.6845362186431885,0.03891253471374512,0.0016705989837646484,0.048413991928100586,0.004171609878540039,12.557685852050781,0.005223751068115234,0.05504250526428223,0.0027892589569091797,12.195055484771729,53.478795289993286
0.15,5,3,8.808049201965332,0.0012354850769042969,0.024605989456176758,0.00027680397033691406,1.9810514450073242,0.022719383239746094,0.00044918060302734375,0.04587578773498535,0.004171609878540039,12.557685852050781,0.005223751068115234,0.05504250526428223,0.0027892589569091797,10.884305953979492,53.478795289993286
0.15,5,4,7.9625403881073,0.0005235671997070312,0.016623735427856445,0.00017142295837402344,1.845226764678955,0.006594657897949219,0.0007913112640380859,0.02107858657836914,0.004171609878540039,12.557685852050781,0.005223751068115234,0.05504250526428223,0.0027892589569091797,9.853593111038208,53.478795289993286
0.15,5,5,8.303997039794922,0.0009696483612060547,0.017573833465576172,0.00018286705017089844,1.2616705894470215,0.005956411361694336,0.0006029605865478516,0.0151824951171875,0.004171609878540039,12.557685852050781,0.005223751068115234,0.05504250526428223,0.0027892589569091797,9.606177806854248,53.478795289993286
0.18,6,1,4.579344272613525,0.0013933181762695312,0.024173736572265625,0.0003209114074707031,1.8887333869934082,0.012376070022583008,0.0009980201721191406,0.03281521797180176,0.004472970962524414,11.127476930618286,0.0015571117401123047,0.009728193283081055,0.0025801658630371094,6.5402092933654785,59.44071435928345
0.18,6,2,9.248142719268799,0.0012555122375488281,0.023975849151611328,0.00025200843811035156,1.7957899570465088,0.01988506317138672,0.0004029273986816406,0.03221774101257324,0.004472970962524414,11.127476930618286,0.0015571117401123047,0.009728193283081055,0.0025801658630371094,11.121960401535034,59.44071435928345
0.18,6,3,8.612585067749023,0.0011320114135742188,0.02295994758605957,0.0002911090850830078,1.514296054840088,0.039824485778808594,0.0017731189727783203,0.04761695861816406,0.004472970962524414,11.127476930618286,0.0015571117401123047,0.009728193283081055,0.0025801658630371094,10.240524768829346,59.44071435928345
0.18,6,4,8.489575862884521,0.0011925697326660156,0.024544715881347656,0.0003006458282470703,2.0532076358795166,0.02675008773803711,0.0021483898162841797,0.04180431365966797,0.004472970962524414,11.127476930618286,0.0015571117401123047,0.009728193283081055,0.0025801658630371094,10.639567613601685,59.44071435928345
0.18,6,5,7.500728368759155,0.001196146011352539,0.02299642562866211,0.00024318695068359375,2.1531944274902344,0.019762516021728516,0.0015766620635986328,0.04484868049621582,0.004472970962524414,11.127476930618286,0.0015571117401123047,0.009728193283081055,0.0025801658630371094,9.744588375091553,59.44071435928345
0.21,7,1,5.016016244888306,0.0011763572692871094,0.023494958877563477,0.00022339820861816406,2.093229055404663,0.013864517211914062,0.0004181861877441406,0.05147552490234375,0.0045318603515625,13.275589942932129,0.000598907470703125,0.043169498443603516,0.0023767948150634766,7.199941635131836,61.61540150642395
0.21,7,2,11.036958456039429,0.0014090538024902344,0.028833627700805664,0.0002777576446533203,1.726146936416626,0.03895092010498047,0.0014612674713134766,0.04456329345703125,0.0045318603515625,13.275589942932129,0.000598907470703125,0.043169498443603516,0.0023767948150634766,12.878642559051514,61.61540150642395
0.21,7,3,6.973759412765503,0.0005309581756591797,0.015224456787109375,0.00016307830810546875,1.2748966217041016,0.006003618240356445,0.00035190582275390625,0.015542745590209961,0.0045318603515625,13.275589942932129,0.000598907470703125,0.043169498443603516,0.0023767948150634766,8.286508798599243,61.61540150642395
